"merchant_id","name_ar","name_en","category","city","is_essential","average_ticket_sar","base_discount_pct","campaign_propensity","seasonal_focus","source_label"
"al_dawaa","الدواء","Al-Dawaa","pharmacy","Dammam","True","85","12","0.44","founding_day","MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET"
"al_romansiah","الرومانسية","Al Romansiah","restaurant","Riyadh","False","72","16","0.42","ramadan","MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET"
"albaik","البيك","AlBaik","restaurant","Jeddah","False","32","15","0.44","ramadan","MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET"
"barns","بارنز","Barn's","coffee","Jeddah","False","22","18","0.48","founding_day","MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET"
"camel_step","خطوة جمل","Camel Step","coffee","Riyadh","False","28","20","0.52","riyadh_season","MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET"
"danube","الدانوب","Danube","grocery","Jeddah","True","175","12","0.5","ramadan","MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET"
"dose","دوز","Dose","coffee","Khobar","False","26","18","0.46","national_day","MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET"
"extra","إكسترا","eXtra","retail","Khobar","False","620","15","0.6","national_day","MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET"
"flynas","طيران ناس","flynas","travel","Riyadh","False","480","18","0.48","eid_fitr","MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET"
"half_million","هاف مليون","Half Million","coffee","Riyadh","False","24","20","0.58","national_day","MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET"
"herfy","هرفي","Herfy","restaurant","Riyadh","False","38","18","0.5","national_day","MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET"
"hungerstation","هنقرستيشن","HungerStation","delivery","Riyadh","False","48","18","0.58","riyadh_season","MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET"
"jarir","جرير","Jarir","retail","Riyadh","False","320","12","0.56","back_to_school","MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET"
"kudu","كودو","Kudu","restaurant","Riyadh","False","36","18","0.48","founding_day","MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET"
"maestro","مايسترو بيتزا","Maestro Pizza","restaurant","Riyadh","False","58","25","0.62","national_day","MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET"
"nahdi","النهدي","Nahdi","pharmacy","Jeddah","True","92","12","0.48","ramadan","MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET"
"noon_saudi","نون السعودية","Noon Saudi","retail","Riyadh","False","180","22","0.68","national_day","MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET"
"panda","بنده","Panda","grocery","Jeddah","True","145","10","0.46","ramadan","MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET"
"saudia","الخطوط السعودية","SAUDIA","travel","Jeddah","False","760","12","0.44","eid_adha","MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET"
"shawarmer","شاورمر","Shawarmer","restaurant","Riyadh","False","34","20","0.54","riyadh_season","MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET"
